iata,Party,Party overflow,Total,Allocted,total_delegates_pro_rata,total_delegates_GDP
FUN,40,14,54,0,54,54
APW,52,1,53,0,53,53
ZRH,21,32,53,78,131,293
BTS,40,12,52,76,128,86
MSQ,48,,48,0,48,69
MSU,47,1,48,0,48,49
SKB,44,4,48,0,48,48
MLA,39,8,47,0,47,52
LPB,40,6,46,0,46,59
SJJ,45,1,46,0,46,53
ECN,29,17,46,0,46,55
KRT,42,4,46,0,46,61
RIX,45,,45,66,111,57
BEG,43,2,45,0,45,64
SJO,26,18,44,65,109,64
BXO,43,,43,0,43,43
TIA,36,6,42,0,42,48
PAP,34,8,42,0,42,48
KIN,31,10,41,0,41,46
VTE,40,,40,0,40,45
ANU,34,5,39,0,39,40
GND,39,,39,0,39,39
VNO,34,5,39,57,96,60
TMS,38,1,39,0,39,39
SLU,37,,37,0,37,0
MVD,23,11,34,0,34,55
CCS,32,2,34,0,34,0
ALG,30,3,33,0,33,90
CCS,31,,31,0,31,34
PBM,30,,30,0,30,31
DOM,22,7,29,0,29,29
ZSA,11,17,28,0,28,38
NCE,19,9,28,0,28,31
SKP,26,2,28,0,28,32
ZAG,22,5,27,0,27,48
RAI,26,,26,0,26,27
PNI,26,,26,0,26,26
IUE,24,,24,0,24,0
TGD,22,,22,0,22,24
RAR,19,2,21,0,21,0
INU,21,,21,0,21,21
GEO,20,,20,0,20,24
POS,12,8,20,0,20,29
SVD,12,3,15,0,15,15
LEU,11,,11,0,11,12
ZRH,7,1,8,0,8,10
KIV,8,,8,0,8,12
ASM,7,,7,0,7,7
MGA,6,,6,0,6,11
FNJ,2,,2,0,2,0
