iata,icao,total_delegates_GDP,country_code,airport,latitude,longitude,distance_to_baku,existing_flight,closest,second_c,third_c,fourth_c,fifth_c,sixth_c,seventh_c,eigth_c,nineth_c,tenth_c,to_baku
SDQ,MDSD,147,DO,Las Americas International Airport,18.4297,-69.6689,11000.69163,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
PNH,VDPP,121,KH,Phnom Penh International Airport,11.5466,104.844,6226.043105,FALSE,VVTS,VVNB,WSSS,VHHH,VGHS,ZHCC,ZSPD,ZBAA,VIDP,VABB,UBBB
HAV,MUHA,296,CU,Jose Marti International Airport,22.9892,-82.4091,11435.78308,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
OTP,LROP,198,RO,Bucharest Henri Coandă International Airport,44.5711,26.085,2013.208129,FALSE,LTFM,LTBA,LTFJ,LYBE,LTBJ,LGAV,LHBP,UKBB,LTAC,LTBS,UBBB
PBH,VQPR,106,BT,Paro International Airport,27.4032,89.4246,3879.516413,FALSE,VGHS,VIDP,OPSR,VVNB,VABB,UAAA,UCFM,VVTS,VHHH,ZHCC,UBBB
HAH,FMCH,105,KM,Prince Said Ibrahim International Airport,-11.5337,43.2719,5799.222536,FALSE,OEJN,OERK,OMAA,OTHH,OMDW,OBBI,OEDF,OMDB,OMSJ,OKBK,UBBB
ASB,UTAA,117,TM,Ashgabat International Airport,37.9868,58.361,768.5490267,FALSE,UTSB,UBBB,OMSJ,OMDB,URWA,OMDW,OKBK,UGTB,OBBI,OMAA,UBBB
VLI,NVVV,99,VU,Bauerfield International Airport,-17.6993,168.32,13647.64468,FALSE,RJAA,RJBB,WSSS,ZSPD,VHHH,VVTS,RKSI,VVNB,ZHCC,ZBAA,UBBB
ASU,SGAS,110,PY,Silvio Pettirossi International Airport,-25.24,-57.52,13225.08775,FALSE,KORD,LEMG,DAAG,EINN,EGLL,EGGW,EGSS,LIMC,LIME,EBBR,UBBB
PTY,MPTO,114,PA,Tocumen International Airport,9.07136,-79.3835,12469.44499,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,ELLX,UBBB
GUA,MGGT,119,GT,La Aurora International Airport,14.5833,-90.5275,12683.1295,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
GUA,MGGT,119,GT,La Aurora International Airport,14.5817,-90.5267,12683.23434,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
KEF,BIKF,99,IS,Keflavík International Airport,63.985,-22.6056,5232.736609,FALSE,EINN,EGGW,EGLL,EGSS,EHAM,EBBR,EHEH,ELLX,EDDK,LEMG,UBBB
EVN,UDYZ,90,AM,Zvartnots International Airport,40.1473,44.3959,481.6035588,FALSE,UGTB,ORER,URMM,UBBB,URWA,URKK,URRP,URWW,LTAU,LTAF,UBBB
BWN,WBSB,89,BN,Brunei International Airport,4.9442,114.928,7541.163941,FALSE,VVTS,WSSS,VHHH,VVNB,ZSPD,ZHCC,VGHS,RKSI,ZBAA,RJBB,UBBB
BGI,TBPB,82,BB,Grantley Adams International Airport,13.0746,-59.4925,10666.15473,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,ELLX,EHAM,UBBB
TBU,NFTF,79,TO,Fua'amotu International Airport,-21.2412,-175.15,15268.68953,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
JIB,HDAM,79,DJ,Djibouti-Ambouli International Airport,11.5473,43.1595,3275.085134,FALSE,OEJN,OERK,OTHH,OEDF,OBBI,OMAA,OMDW,OKBK,OMDB,OMSJ,UBBB
NAS,MYNN,78,BS,Lynden Pindling International Airport,25.039,-77.4662,10955.00207,FALSE,KORD,LEMG,EINN,EGLL,DAAG,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
THR,OIII,194,IR,Mehrabad International Airport,35.6892,51.3134,541.8824185,FALSE,UBBB,OKBK,ORER,UGTB,OEDF,OBBI,OTHH,URWA,OMSJ,OMDB,UBBB
CXI,PLCH,71,KI,Cassidy International Airport,1.98616,-157.35,14547.61179,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
MLE,VRMM,71,MV,Velana International Airport,4.19183,73.5291,4656.658423,FALSE,VABB,VIDP,VGHS,OMDW,OMAA,OMSJ,OMDB,OPSR,OTHH,WSSS,UBBB
DIL,WPDL,70,TL,Presidente Nicolau Lobato International Airport,-8.5464,125.526,9415.145558,FALSE,WSSS,VVTS,VHHH,VVNB,ZSPD,RJBB,ZHCC,RKSI,RJAA,VGHS,UBBB
RMI,LIPR,65,IT,Federico Fellini International Airport,44.0203,12.6117,3087.86534,FALSE,LIME,LDZA,LIMC,EDDM,LZIB,EDDF,EDDP,LHBP,LYBE,EDFH,UBBB
PRG,LKPR,146,CZ,Vaclav Havel Airport Prague,50.1008,14.26,2970.336202,FALSE,EDDP,EDDM,LZIB,LDZA,LHBP,EDDF,LIME,EDFH,LIMC,EDDK,UBBB
MTS,FDMS,62,SZ,Matsapha Airport,-26.529,31.3075,7666.425543,FALSE,OEJN,OERK,OTHH,OMAA,OEDF,OBBI,OMDW,OMDB,OMSJ,OKBK,UBBB
BZE,MZBZ,59,BZ,Philip S. W. Goldson International Airport,17.5391,-88.3082,12279.82129,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
MRU,FIMP,60,MU,Sir Seewoosagur Ramgoolam International Airport,-20.4302,57.6836,6787.787465,FALSE,VABB,OMAA,OMDW,OMDB,OMSJ,OEJN,OTHH,OERK,OBBI,OEDF,UBBB
LJU,LJLJ,74,SK,Ljubljana Joze Pucnik Airport (Brnik Airport),46.2237,14.4576,2929.552752,FALSE,LDZA,LZIB,EDDM,LIME,LHBP,EDDP,LIMC,LYBE,EDDF,EDFH,UBBB
HIR,AGGH,56,SB,Honiara International Airport,-9.428,160.055,12378.28373,FALSE,RJAA,RJBB,ZSPD,VHHH,WSSS,VVTS,RKSI,VVNB,ZHCC,ZBAA,UBBB
FUN,NGFU,54,TV,Funafuti International Airport,-8.525,179.196,13887.43258,FALSE,RJAA,RJBB,ZSPD,RKSI,VHHH,VVTS,WSSS,ZHCC,VVNB,ZBAA,UBBB
APW,NSFA,53,WS,Faleolo International Airport,-13.83,-172.008,14985.24548,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,EHEH,UBBB
ZRH,LSZH,293,CH,Zurich Airport,47.4647,8.54917,3377.098282,FALSE,LIMC,LIME,EDDF,EDFH,ELLX,EDDM,EDDK,EHEH,EBBR,EDDP,UBBB
MSU,FXMM,49,LS,Moshoeshoe I International Airport,-29.4623,27.5525,8083.072349,FALSE,OEJN,OERK,OTHH,OEDF,OBBI,OMAA,OMDW,OMDB,OMSJ,LLBG,UBBB
SKB,TKPK,48,KN,Robert L. Bradshaw International Airport,17.3112,-62.7187,10584.4763,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,ELLX,UBBB
SKB,TKPK,48,KN,Robert L. Bradshaw Airport,17.3114,-62.7186,10584.4531,FALSE,KORD,LEMG,EINN,DAAG,EGLL,EGGW,EGSS,EBBR,EHAM,ELLX,UBBB
MLA,LMML,52,MT,Malta International Airport (Luqa Airport),35.8575,14.4775,3137.273814,FALSE,LGAV,LDZA,LYBE,LIME,DAAG,LIMC,LHBP,LZIB,EDDM,LTBJ,UBBB
LPB,SLLP,59,BO,El Alto International Airport,-16.5133,-68.1923,13564.94073,FALSE,KORD,LEMG,DAAG,EINN,EGLL,EGGW,EGSS,LIMC,EBBR,ELLX,UBBB
SJJ,LQSA,53,BA,Sarajevo International Airport,43.8246,18.3315,2631.558381,FALSE,LYBE,LDZA,LHBP,LZIB,EDDM,LGAV,LIME,EDDP,LIMC,LTBJ,UBBB
ECN,LCEN,55,CY,Ercan International Airport,35.1547,33.4961,1569.041044,FALSE,LCLK,LTFG,LTAF,LTAI,LLBG,LTAU,LTBS,LTAC,LTBJ,LTFJ,UBBB
KRT,HSSK,61,SD,Khartoum International Airport,15.5895,32.5532,3235.656334,FALSE,OEJN,LLBG,OERK,LCLK,OEDF,OKBK,LTFG,OBBI,OTHH,LTAI,UBBB
